"estación_meteorológica";"año_2010";"año_2011";"año_2012";"año_2013";"año_2014";"año_2015";"año_2016";"año_2017";"año_2018";"año_2019";"año_2020";"año_2021";"año_2022";"año_2023";"año_2024"
"Buenos Aires ";"1349";"926 ";"1638 ";"1146 ";"1986 ";"1157 ";"1224 ";"1187 ";"1473 ";"1208 ";"834 ";"958 ";"752 ";"952 ";"1162 "
"Catamarca ";"248";"359 ";"251 ";"455 ";"555 ";"599 ";"440 ";"512 ";"441 ";"561 ";"401 ";"415 ";"493 ";"505 ";"267 "
"Córdoba ";"793";"574 ";"787 ";"781 ";"865 ";"1053 ";"988 ";"682 ";"606 ";"921 ";"684 ";"756 ";"597 ";"516 ";"810 "
"Corrientes ";"1286";"1270 ";"1041 ";"1459 ";"1458 ";"1478 ";"1677 ";"1613 ";"1709 ";"1715 ";"879 ";"1027 ";"822 ";"1221 ";"1756 "
"Formosa";"1303";"1248 ";"1205 ";"1349 ";"1621 ";"1864 ";"1447 ";"1379 ";"1500 ";"1351 ";"1102 ";"1311 ";"1086 ";"1506 ";"1258 "
"Jujuy ";"579";"573 ";"603 ";"486 ";"731 ";"725 ";"817 ";"623 ";"867 ";"640 ";"719 ";"732 ";"693 ";"592 ";"820 "
"La Plata ";"1012";"792 ";"1123 ";"1083 ";"1498 ";"913 ";"1146 ";"1150 ";"1370 ";"1051 ";"807 ";"751 ";"580 ";"906 ";"1164 "
"La Rioja  ";"391";"432 ";"237 ";"194 ";"451 ";"542 ";"539 ";"424 ";"390 ";"522 ";"330 ";"442 ";"548 ";"370 ";"366 "
"Mar del Plata ";"1022";"904 ";"1007 ";"815 ";"1255 ";"660 ";"1162 ";"1421 ";"921 ";"826 ";"842 ";"840 ";"804 ";"823 ";"750 "
"Mendoza ";"151";"283 ";"156 ";"173 ";"281 ";"208 ";"412 ";"248 ";"174 ";"160 ";"246 ";"265 ";"207 ";"92 ";"194 "
"Neuquén ";"178";"79 ";"226 ";"128 ";"477 ";"110 ";"396 ";"104 ";"286 ";"112 ";"231 ";"159 ";"202 ";"163 ";"116 "
"Paraná ";"1222";"1038 ";"1324 ";"1001 ";"1311 ";"1160 ";"1346 ";"1171 ";"1060 ";"1279 ";"799 ";"1068 ";"822 ";"936 ";"966 "
"Posadas ";"1693";"1456 ";"1649 ";"1674 ";"2999 ";"2389 ";"1748 ";"2493 ";"1832 ";"2115 ";"1305 ";"1390 ";"1881 ";"2555 ";"2207 "
"Resistencia";"1298";"1245 ";"1032 ";"1444 ";"1438 ";"1572 ";"1596 ";"1533 ";"1555 ";"2031 ";"922 ";"1169 ";"901 ";"1179 ";"1717 "
"Río Gallegos ";"195";"285 ";"304 ";"271 ";"314 ";"232 ";"231 ";"358 ";"312 ";"342 ";"319 ";"144 ";"198 ";"148 ";"311 "
"Rosario";"1025";"1042 ";"1626 ";"738 ";"1086 ";"984 ";"1272 ";"1118 ";"998 ";"977 ";"687 ";"803 ";"565 ";"852 ";"1065 "
"Salta";"729";"1066 ";"702 ";"745 ";"685 ";"753 ";"1040 ";"733 ";"962 ";"698 ";"684 ";"638 ";"640 ";"781 ";"987 "
"San Juan ";"59";"110 ";"49 ";"101 ";"194 ";"50 ";"128 ";"53 ";"109 ";"66 ";"57 ";"84 ";"81 ";"73 ";"128 "
"San Luis ";"655";"674 ";"613 ";"622 ";"834 ";"993 ";"641 ";"756 ";"573 ";"423 ";"421 ";"619 ";"398 ";"403 ";"420 "
"Santa Rosa ";"726";"657 ";"904 ";"529 ";"943 ";"752 ";"994 ";"1148 ";"510 ";"432 ";"635 ";"1002 ";"558 ";"728 ";"697 "
"Santiago del Estero ";"626";"619 ";"623 ";"468 ";"906 ";"777 ";"693 ";"656 ";"643 ";"744 ";"501 ";"656 ";"481 ";"706 ";"568 "
"Sauce Viejo ";"903";"988 ";"1361 ";"940 ";"1243 ";"1152 ";"1515 ";"1163 ";"1120 ";"1355 ";"714 ";"1114 ";"705 ";"921 ";"927 "
"Trelew ";"157";"143 ";"164 ";"278 ";"260 ";"147 ";"248 ";"289 ";"126 ";"194 ";"130 ";"236 ";"282 ";"99 ";"230 "
"Tucumán ";"916";"1122 ";"793 ";"736 ";"887 ";"1062 ";"1020 ";"806 ";"1047 ";"874 ";"967 ";"801 ";"816 ";"886 ";"803 "
"Ushuaia ";"503";"299 ";"447 ";"401 ";"469 ";"424 ";"334 ";"418 ";"417 ";"565 ";"479 ";"331 ";"339 ";"333 ";"417 "
"Viedma ";"372";"347 ";"460 ";"312 ";"468 ";"411 ";"475 ";"403 ";"447 ";"282 ";"399 ";"271 ";"369 ";"249 ";"337 "
